"time","x","wls_pred","wls_pi_lower","wls_pi_upper","ols_pred","ols_pi_lower","ols_pi_upper"
"2024-01",2024,3.23765899185673,3.22393661941615,3.25138136429731,3.28115370579029,3.22757932851298,3.3347280830676
"2024-02",2024.08333333333,3.23995315031819,3.22609596582611,3.25381033481027,3.28583241881041,3.23219775526803,3.3394670823528
"2024-03",2024.16666666667,3.24224730877965,3.22824391788302,3.25625069967628,3.29051113183056,3.23681462311797,3.34420764054315
"2024-04",2024.25,3.24454146724111,3.23038082851726,3.25870210596495,3.29518984485068,3.24142993744282,3.34894975225854
"2024-05",2024.33333333333,3.24683562570256,3.23250706124481,3.26116419016031,3.29986855787081,3.24604370373218,3.35369341200944
"2024-06",2024.41666666667,3.24912978416403,3.2346229868705,3.26363658145755,3.30454727089095,3.25065592758284,3.35843861419906
"2024-07",2024.5,3.25142394262548,3.23672898043091,3.26611890482005,3.30922598391108,3.25526661469661,3.36318535312555
"2024-08",2024.58333333333,3.25371810108693,3.23882541838792,3.26861078378594,3.3139046969312,3.25987577087804,3.36793362298437
"2024-09",2024.66666666667,3.2560122595484,3.24091267611136,3.27111184298544,3.31858340995134,3.26448340203216,3.37268341787053
"2024-10",2024.75,3.25830641800985,3.24299112565621,3.2736217103635,3.32326212297147,3.26908951416205,3.37743473178089
"2024-11",2024.83333333333,3.2606005764713,3.24506113382717,3.27614001911543,3.3279408359916,3.27369411336669,3.3821875586165
"2024-12",2024.91666666667,3.26289473493277,3.24712306053182,3.27866640933372,3.33261954901172,3.27829720583847,3.38694189218497
