"horizon","date","forecast","lower","upper","pred_se"
1,2011-01-01,101.28,40.22,255.02,0.47116875957559
2,2011-02-01,147.23,54.82,395.39,0.504040474565287
3,2011-03-01,156.92,57.91,425.22,0.508611641549817
4,2011-04-01,142.55,52.54,386.77,0.509268327895274
5,2011-05-01,355.31,130.93,964.22,0.509363083451012
6,2011-06-01,538.02,198.25,1460.09,0.509376764696845
7,2011-07-01,611.21,225.22,1658.71,0.509378740238382
8,2011-08-01,631.89,232.84,1714.86,0.509379025505947
9,2011-09-01,630.11,232.18,1710.02,0.50937906669857
10,2011-10-01,508.16,187.25,1379.06,0.509379072646784
11,2011-11-01,375.01,138.19,1017.72,0.509379073505706
12,2011-12-01,280.49,103.36,761.21,0.509379073629735
