"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.11552022932913,1.13434028346212,3.62811784905333,0.000401925024955538
"Ph.l1",0.111743605425021,0.0743902191647587,1.50212765441022,0.135365599185076
"Ph.l2",0.13061466173405,0.0651783043481981,2.00395918611622,0.0470461983640441
"Ph.l3",0.164009689271851,0.0534114830302106,3.07068218231432,0.0025761113476401
"Tdelta.l0",-0.11848514830229,0.357741551716125,-0.331203204475142,0.74099706027056
"Tdelta.l1",2.3107646482336,0.593664508312834,3.89237459183923,0.000154381041083973
"Tdelta.l2",-0.887116146566156,0.612926369882537,-1.44734537483868,0.150084610573299
"Tdelta.l3",0.874133698681573,0.430485833839406,2.03057482957191,0.0442331031996347
"Gv.l0",-0.0973195245343073,0.00268212592100224,-36.2844726163869,3.91380591123024e-72
"Gv.l1",-0.0163878506367727,0.00862958617945173,-1.89903088004318,0.0596629152178379
"Gv.l2",0.00720749197358317,0.0079669958169812,0.904668728232643,0.367229048115775
"Gv.l3",0.0154370348140523,0.0054294306067856,2.8432143132577,0.00515034405784517
